도로명칭,출발지 법정동명,출발지 이름,도착지 이름,제한너비,제한높이,제한길이(단일차량),제한길이(연결차량),총중량,축중량
 ,부산광역시 강서구 동선동 ,부산 강서구 동선동 1073-3,부산 강서구 동선동 1071-3,3,4.4,19,22,40,10
 ,부산광역시 강서구 구랑동 ,부산 강서구 구랑동 1265,부산 강서구 구랑동 1261,3.3,4.5,19,21,40,10
 ,부산광역시 강서구 대저2동,부산 강서구 대저2동 3142,부산 강서구 대저2동 3138-1 ,3.3,4.5,19,21,40,10
 ,부산광역시 강서구 봉림동 ,부산 강서구 봉림동 747-20,부산 강서구 봉림동 869-1,3.3,4.4,19,21,40,10
 ,부산광역시 강서구 봉림동 ,부산 강서구 봉림동 61-4,부산 강서구 봉림동 747-110 ,3.3,4.4,19,21,40,10
 ,부산광역시 서구 암남동,부산 서구 암남동 115-75,부산 서구 암남동 123-13,3.3,4.5,19,21,40,10
 ,부산광역시 영도구 동삼동 ,부산 영도구 동삼동 525 ,부산 영도구 동삼동 1103-11 ,3.3,4.5,19,21,40,10
 ,부산광역시 금정구 구서동 ,구서IC ,부산 금정구 구서동 481-1,3.5,4.5,19,25,40,10
 ,부산광역시 연제구 연산동 ,부산 연제구 연산동 1000-7,부산 연제구 연산동 1000,3,4.4,19,22,40,10
 ,부산광역시 금정구 부곡동 ,부산 금정구 부곡동 78-1,부산 금정구 부곡동 78-3,3.3,4.5,19,21,40,10
 ,부산광역시 동래구 사직동 ,부산 동래구 사직동 161-61,부산 동래구 사직동 1017,3.3,4.5,19,21,40,10
 ,부산광역시 금정구 남산동 ,부산 금정구 남산동 126-1,부산 금정구 남산동 136-2,3.3,4.5,19,21,40,10
 ,부산광역시 해운대구 중동 ,중동역교차로,부산 해운대구 중동 1783-1,3.3,4.5,19,21,40,10
 ,부산광역시 기장군 기장읍 대라리,부산 기장군 기장읍 대라리 1062,부산 기장군 기장읍 대라리 390 ,3.3,4.5,19,21,40,10
 ,부산광역시 해운대구 우동 ,부산 해운대구 우동 1488,부산 해운대구 우동 1524,3.3,4.5,19,21,40,10
 ,부산광역시 기장군 기장읍 교리,부산 기장군 기장읍 교리 237-1,부산 기장군 기장읍 교리 237-7,3.3,4.5,19,21,40,10
 ,부산광역시 기장군 정관읍 모전리,부산 기장군 정관읍 모전리 787 ,부산 기장군 정관읍 모전리 730 ,3.3,4.5,19,21,40,10
 ,부산광역시 기장군 정관읍 두명리,부산 기장군 정관읍 두명리 130-1 ,부산 기장군 정관읍 두명리 358-1 ,3.3,4.4,19,21,40,10
 ,부산광역시 기장군 정관읍 두명리,부산 기장군 정관읍 두명리 130-1 ,부산 기장군 정관읍 두명리 135 ,3,4.4,19,22,40,10
 ,부산광역시 기장군 장안읍 장안리,부산 기장군 장안읍 명례리 894 ,부산 기장군 장안읍 명례리 896 ,3,4.4,19,22,40,10
 ,부산광역시 강서구 구랑동 ,부산 강서구 구랑동 1239,부산 강서구 구랑동 1239,3.3,4.5,19,21,40,10
 ,부산광역시 강서구 구랑동 ,부산 강서구 구랑동 1236,부산 강서구 구랑동 1165,3,4.4,19,22,40,10
 ,부산광역시 강서구 미음동 ,부산 강서구 미음동 1595,부산 강서구 미음동 1593,3.3,4.5,19,21,40,10
 ,부산광역시 강서구 미음동 ,부산 강서구 미음동 1595,부산 강서구 미음동 1596,3.3,4.5,19,21,40,10
 ,부산광역시 남구 대연동,부산 남구 대연동 1756-27,부산 남구 대연동 1268-3,3.3,4.5,19,21,40,10
 ,부산광역시 금정구 장전동 ,부산 금정구 장전동 241-12,부산 금정구 장전동 710 ,3,4.4,19,22,40,10
 ,부산광역시 금정구 구서동 ,부산 금정구 구서동 915 ,부산 금정구 구서동 915 ,3,4.4,19,22,40,10
