emitted_at_utc,line_number,line_id,vehicle_id,longitude,latitude,speed_kmh,direction,source,live_observed_at_utc,live_age_s
2026-09-08T11:58:38Z,126,5200126000,70자2601,129.0104064,35.2121440,,2,live,2026-09-08T11:58:38Z,0.2
2026-09-08T11:58:38Z,103,5200103000,70자1406,128.9830912,35.0966368,,2,live,2026-09-08T11:58:38Z,0.3
2026-09-08T11:58:38Z,3006,5203006000,71자2826,128.8545664,35.0889984,,1,live,2026-09-08T11:58:38Z,0.5
2026-09-08T11:58:38Z,1001,5201001000,71자2617,128.9619584,35.1145824,,2,live,2026-09-08T11:58:38Z,0.3
2026-09-08T11:58:38Z,111-1,5200111100,70자1007,129.0692608,35.2073952,,2,live,2026-09-08T11:58:38Z,0.5
2026-09-08T11:58:38Z,131,5200131000,70자5416,129.0714624,35.1732192,,2,live,2026-09-08T11:58:38Z,0.3
2026-09-08T11:58:38Z,33,5200033000,70자5204,129.0576768,35.1573536,,2,live,2026-09-08T11:58:38Z,0.3
2026-09-08T11:58:49Z,3006,5203006000,71자2826,128.8531200,35.0889920,,1,live,2026-09-08T11:58:48Z,0.7
2026-09-08T11:58:49Z,111-1,5200111100,70자1007,129.0682624,35.2059744,,2,live,2026-09-08T11:58:48Z,0.8
2026-09-08T11:59:04Z,131,5200131000,70자5416,129.0704000,35.1735104,,2,live,2026-09-08T11:59:03Z,0.6
2026-09-08T11:59:18Z,111-1,5200111100,70자1007,129.0679424,35.2054944,,2,live,2026-09-08T11:59:18Z,0.0
2026-09-08T11:59:24Z,131,5200131000,70자5416,129.0698496,35.1737408,,2,live,2026-09-08T11:59:23Z,0.6
2026-09-08T11:59:48Z,111-1,5200111100,70자1007,129.0673792,35.2045376,,2,live,2026-09-08T11:59:48Z,0.1
2026-09-08T11:59:49Z,131,5200131000,70자5416,129.0681344,35.1746176,,2,live,2026-09-08T11:59:49Z,0.6
2026-09-08T12:00:08Z,1001,5201001000,71자2617,128.9651456,35.1110624,,2,live,2026-09-08T12:00:08Z,0.0
2026-09-08T12:00:09Z,1001,5201001000,71자2617,128.9651456,35.1110624,,2,live,2026-09-08T12:00:08Z,1.0
2026-09-08T12:00:19Z,103,5200103000,70자1406,128.9862656,35.0972704,,2,live,2026-09-08T12:00:18Z,0.2
2026-09-08T12:00:24Z,3006,5203006000,71자2826,128.8497024,35.0889824,,1,live,2026-09-08T12:00:23Z,0.3
2026-09-08T12:00:29Z,126,5200126000,70자2601,129.0099840,35.2133760,,2,live,2026-09-08T12:00:29Z,0.1
2026-09-08T12:00:29Z,111-1,5200111100,70자1007,129.0655616,35.2021440,,2,live,2026-09-08T12:00:29Z,0.2
2026-09-08T12:00:30Z,131,5200131000,70자5416,129.0679424,35.1763232,,2,live,2026-09-08T12:00:29Z,0.9
2026-09-08T12:00:34Z,1001,5201001000,71자2617,128.9653888,35.1107072,,2,live,2026-09-08T12:00:34Z,0.2
2026-09-08T12:00:39Z,33,5200033000,70자5204,129.0604544,35.1593120,,2,live,2026-09-08T12:00:39Z,0.2
2026-09-08T12:00:44Z,3006,5203006000,71자2826,128.8465152,35.0889664,,3,live,2026-09-08T12:00:44Z,0.3
2026-09-08T12:00:49Z,126,5200126000,70자2601,129.0095104,35.2150368,,2,live,2026-09-08T12:00:49Z,0.3
2026-09-08T12:00:49Z,131,5200131000,70자5416,129.0680064,35.1767552,,2,live,2026-09-08T12:00:49Z,0.1
2026-09-08T12:00:54Z,103,5200103000,70자1406,128.9867904,35.0986720,,2,live,2026-09-08T12:00:54Z,0.4
2026-09-08T12:00:59Z,126,5200126000,70자2601,129.0092288,35.2159840,,2,live,2026-09-08T12:00:59Z,0.4
2026-09-08T12:01:04Z,111-1,5200111100,70자1007,129.0650240,35.2013504,,2,live,2026-09-08T12:01:04Z,0.3
2026-09-08T12:01:09Z,3006,5203006000,71자2826,128.8432512,35.0889536,,3,live,2026-09-08T12:01:09Z,0.6
2026-09-08T12:01:09Z,111-1,5200111100,70자1007,129.0647936,35.2009504,,2,live,2026-09-08T12:01:09Z,0.6
2026-09-08T12:01:09Z,131,5200131000,70자5416,129.0687744,35.1788800,,2,live,2026-09-08T12:01:09Z,0.4
2026-09-08T12:01:14Z,131,5200131000,70자5416,129.0691328,35.1798528,,2,live,2026-09-08T12:01:14Z,0.1
2026-09-08T12:01:35Z,3006,5203006000,71자2826,128.8400128,35.0889536,,3,live,2026-09-08T12:01:34Z,0.8
2026-09-08T12:01:35Z,1001,5201001000,71자2617,128.9682048,35.1065952,,2,live,2026-09-08T12:01:34Z,0.7
2026-09-08T12:01:40Z,126,5200126000,70자2601,129.0091392,35.2174304,,2,live,2026-09-08T12:01:39Z,0.8
2026-09-08T12:01:40Z,103,5200103000,70자1406,128.9890304,35.0990496,,2,live,2026-09-08T12:01:39Z,0.8
2026-09-08T12:01:40Z,131,5200131000,70자5416,129.0700032,35.1820608,,2,live,2026-09-08T12:01:39Z,0.5
2026-09-08T12:01:54Z,1001,5201001000,71자2617,128.9689600,35.1055296,,2,live,2026-09-08T12:01:54Z,0.0
2026-09-08T12:01:55Z,126,5200126000,70자2601,129.0090240,35.2185472,,2,live,2026-09-08T12:01:54Z,0.9
2026-09-08T12:02:04Z,103,5200103000,70자1406,128.9909376,35.0992928,,2,live,2026-09-08T12:02:04Z,0.1
2026-09-08T12:02:04Z,111-1,5200111100,70자1007,129.0624384,35.1991424,,2,live,2026-09-08T12:02:04Z,0.2
2026-09-08T12:02:05Z,131,5200131000,70자5416,129.0702976,35.1827648,,2,live,2026-09-08T12:02:04Z,0.9
2026-09-08T12:02:09Z,103,5200103000,70자1406,128.9919104,35.0995904,,2,live,2026-09-08T12:02:09Z,0.2
2026-09-08T12:02:09Z,1001,5201001000,71자2617,128.9700352,35.1047584,,2,live,2026-09-08T12:02:09Z,0.1
2026-09-08T12:02:09Z,33,5200033000,70자5204,129.0621056,35.1613376,,2,live,2026-09-08T12:02:09Z,0.3
2026-09-08T12:02:14Z,33,5200033000,70자5204,129.0623616,35.1616768,,2,live,2026-09-08T12:02:14Z,0.5
2026-09-08T12:02:35Z,126,5200126000,70자2601,129.0086400,35.2198880,,2,live,2026-09-08T12:02:34Z,0.8
2026-09-08T12:02:35Z,103,5200103000,70자1406,128.9927040,35.0999040,,2,live,2026-09-08T12:02:34Z,0.9
2026-09-08T12:02:40Z,1001,5201001000,71자2617,128.9714816,35.1042944,,2,live,2026-09-08T12:02:39Z,0.6
2026-09-08T12:02:50Z,111-1,5200111100,70자1007,129.0607872,35.1979584,,2,live,2026-09-08T12:02:49Z,1.0
2026-09-08T12:02:54Z,1001,5201001000,71자2617,128.9731712,35.1037056,,2,live,2026-09-08T12:02:54Z,0.2
2026-09-08T12:02:54Z,33,5200033000,70자5204,129.0641152,35.1639360,,2,live,2026-09-08T12:02:54Z,0.2
2026-09-08T12:03:10Z,1001,5201001000,71자2617,128.9748096,35.1031584,,2,live,2026-09-08T12:03:09Z,0.2
2026-09-08T12:03:20Z,33,5200033000,70자5204,129.0649600,35.1655808,,2,live,2026-09-08T12:03:19Z,0.6
2026-09-08T12:03:25Z,3006,5203006000,71자2826,128.8393344,35.0882240,,3,live,2026-09-08T12:03:24Z,0.7
2026-09-08T12:03:35Z,3006,5203006000,71자2826,128.8393088,35.0873056,,3,live,2026-09-08T12:03:34Z,0.8
2026-09-08T12:03:45Z,131,5200131000,70자5416,129.0710400,35.1850144,,2,live,2026-09-08T12:03:45Z,0.7
2026-09-08T12:03:49Z,111-1,5200111100,70자1007,129.0606848,35.1966560,,2,live,2026-09-08T12:03:49Z,0.0
2026-09-08T12:03:55Z,3006,5203006000,71자2826,128.8392960,35.0860832,,3,live,2026-09-08T12:03:54Z,0.1
